2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
NSW,103,Banks,H,0,33804,H Ticket Votes,"Shooters, Fishers and Farmers",ASP,N,N,147,0,0,0,0,147
NSW,103,Banks,H,1,32748,"COOKE, Brett","Shooters, Fishers and Farmers",ASP,N,N,0,0,0,0,0,0
NSW,103,Banks,H,2,32755,"BORSAK, Wayne","Shooters, Fishers and Farmers",ASP,N,N,0,0,0,0,0,0
NSW,103,Banks,H,9998,0,Unapportioned,"Shooters, Fishers and Farmers",ASP,N,N,495,0,0,0,0,495
NSW,103,Banks,I,0,33817,I Ticket Votes,Australian People's Party,APEP,N,N,48,0,0,0,0,48
NSW,103,Banks,I,1,33231,"GEORGANTIS, Steven",Australian People's Party,APEP,N,N,0,0,0,0,0,0
NSW,103,Banks,I,2,33239,"TSANGARIS, Susan",Australian People's Party,APEP,N,N,0,0,0,0,0,0
NSW,103,Banks,I,9998,0,Unapportioned,Australian People's Party,APEP,N,N,151,0,0,0,0,151
NSW,103,Banks,J,0,33815,J Ticket Votes,Labor/Country Labor,ALPC,N,N,5595,0,0,0,0,5595
NSW,103,Banks,J,1,33434,"SHELDON, Tony",Labor,ALP,N,N,0,0,0,0,0,0
NSW,103,Banks,J,2,33439,"AYRES, Tim",Labor,ALP,N,N,0,0,0,0,0,0
NSW,103,Banks,J,3,33441,"LI, Jason Yat-Sen",Labor,ALP,N,N,0,0,0,0,0,0
NSW,103,Banks,J,4,33443,"PENGELLY, Simonne",Labor,ALP,N,N,0,0,0,0,0,0
NSW,103,Banks,J,5,33447,"CHANDRALA, Aruna",Labor,ALP,N,N,0,0,0,0,0,0
NSW,103,Banks,J,6,33472,"SHEAHAN, Charlie",Country Labor,CLR,N,N,0,0,0,0,0,0
NSW,103,Banks,J,9998,0,Unapportioned,Labor/Country Labor,ALPC,N,N,18740,0,0,0,0,18740
NSW,103,Banks,K,0,33803,K Ticket Votes,Socialist Alliance,SAL,N,N,13,0,0,0,0,13
NSW,103,Banks,K,1,32697,"PRICE, Susan",Socialist Alliance,SAL,N,N,0,0,0,0,0,0
