"State_Cd","PVA_Web_1_Party_Div","AEC - OPVA","AEC - Paper","ALP","CLP","GPV","GRN","LIB","LNP","NAT","OTH","PVA_Web_2_Date_Div","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617","20160618","20160619","20160620","20160621","20160622","20160623","20160624","20160625","20160626","20160627","20160628","20160629","20160630","20160701"
"NT","LINGIARI",1194,39,19,75,764,,16,11,1,49,"LINGIARI",,,,,,,,,,,,,,,,,,,,764,,48,230,14,15,18,24,39,27,32,38,22,69,16,24,17,127,70,64,65,21,26,40,53,28,49,82,9,41,29,44,13,1,9
"NT","SOLOMON",2350,32,132,1413,679,2,14,9,1,607,"SOLOMON",,,,,,,,,,,,,,,,,,,,679,,293,531,55,44,118,687,119,52,49,33,149,131,22,319,33,184,108,64,210,23,38,108,124,66,70,100,35,55,35,64,99,50,492
"QLD","BLAIR",6650,176,1047,,1442,1,4,2750,3,57,"BLAIR",,,,,,,,,,,,,,,,,,,,1442,,488,1262,164,154,241,387,649,397,438,196,567,1239,105,65,289,616,221,181,308,64,163,356,501,264,296,354,64,68,130,221,188,10,42
"QLD","BONNER",7186,83,1133,,1336,1,70,6577,3,6,"BONNER",,,,,,,,,,,,,,,,,,,,1336,,889,1414,174,93,491,833,579,1582,1381,1165,1473,639,247,80,266,467,246,185,257,83,125,429,285,216,202,464,58,70,136,204,163,158,5
"QLD","BOWMAN",7557,110,13,,1474,,7,936,,7,"BOWMAN",,,,,,,,,,,,,,,,,,,,1474,,241,1177,88,83,194,155,151,192,197,791,194,231,91,95,185,805,374,362,344,136,196,406,368,259,288,370,49,89,132,267,114,3,3
"QLD","BRISBANE",7969,136,675,,1879,1,56,4077,4,45,"BRISBANE",,,,,,,,,,,,,,,,,,,,1879,,633,1806,127,79,218,410,172,447,1308,1366,1290,593,117,106,261,386,282,256,345,119,171,546,357,256,261,271,44,88,199,203,153,56,37
"QLD","CAPRICORNIA",4682,84,8,,1835,,83,4973,,1,"CAPRICORNIA",,,,,,,,,,,,,,,,,,,,1835,,487,945,185,83,115,99,92,598,1137,1240,1209,788,68,60,307,308,158,124,116,46,73,361,146,100,104,334,15,25,133,220,88,66,1
"QLD","DAWSON",4417,134,7,,1066,1,82,3252,,43,"DAWSON",,,,,,,,,,,,,,,,,,,,1066,,263,1131,87,120,116,82,109,173,577,787,991,619,70,64,153,290,145,169,161,69,101,372,108,155,120,142,26,34,93,111,269,211,18
"QLD","DICKSON",7417,149,15,,1396,1,5,4503,2,44,"DICKSON",,,,,,,,,,,,,,,,,,,,1396,,575,1900,889,239,832,1103,334,291,397,238,224,743,164,99,197,559,270,218,415,114,165,353,303,248,229,349,46,49,147,213,176,24,33
"QLD","FADDEN",6558,111,17,2,1284,2,8,2176,6,124,"FADDEN",,,,,,,,,,,,,,,,,,,,1284,,344,1015,269,227,446,686,173,165,273,413,374,280,100,72,152,485,375,302,308,141,232,434,307,237,296,275,56,70,139,209,122,23,4
"QLD","FAIRFAX",4764,89,18,,1344,,75,4016,4,7,"FAIRFAX",,,,,,,,,,,,,,,,,,,,1344,,419,1056,140,80,177,145,115,577,1197,643,957,683,68,69,232,272,145,166,176,61,129,258,188,158,160,177,42,40,91,229,89,29,5
"QLD","FISHER",4559,94,28,,1292,,10,4469,1,13,"FISHER",,,,,,,,,,,,,,,,,,,,1292,,409,877,132,79,129,164,120,390,1293,637,990,689,104,73,301,259,162,180,181,70,92,307,235,129,160,147,30,51,93,328,194,165,4
"QLD","FLYNN",5823,254,293,3,2084,,8,6472,,3,"FLYNN",,,,,,,,,,,,,,,,,,,,2084,,586,1390,143,131,244,204,168,684,1588,1135,1379,1035,221,51,665,441,332,349,252,72,107,377,52,69,87,169,30,33,68,432,346,14,2
"QLD","FORDE",6217,124,22,,1465,,10,5837,2,12,"FORDE",,,,,,,,,,,,,,,,,,,,1465,,710,1220,108,74,222,255,334,1105,1504,1050,1101,643,108,55,191,310,248,180,221,66,157,446,290,261,219,221,40,79,141,280,253,128,4
"QLD","GRIFFITH",7886,91,409,,1579,2,11,5364,2,6,"GRIFFITH",,,,,,,,,,,,,,,,,,,,1579,,782,1753,138,80,221,211,142,231,2690,899,1048,540,305,109,257,402,246,298,243,90,163,347,256,226,243,417,74,71,126,864,192,103,4
"QLD","GROOM",6199,159,6,,1639,,2,7133,3,37,"GROOM",,,,,,,,,,,,,,,,,,,,1639,,222,1573,198,96,135,101,163,490,477,1358,3071,1447,266,71,210,361,244,173,222,74,110,604,226,276,220,226,47,52,166,322,236,69,33
"QLD","HERBERT",5458,99,2,,1153,,13,4372,6,217,"HERBERT",,,,,,,,,,,,,,,,,,,,1153,,615,1266,138,75,120,87,99,505,1148,1292,849,417,63,85,213,264,218,162,192,61,80,400,230,158,172,181,37,38,79,144,124,478,177
"QLD","HINKLER",3471,86,20,4,1497,2,12,4381,1,15,"HINKLER",,,,,,,,,,,,,,,,,,,,1497,,343,734,106,54,88,101,102,763,949,774,1085,541,94,33,109,205,104,127,113,33,70,261,168,120,134,150,17,19,66,276,204,41,8
"QLD","KENNEDY",4421,132,6,,2960,,16,496,,5,"KENNEDY",,,,,,,,,,,,,,,,,,,,2960,,152,577,71,40,80,66,114,103,154,220,317,215,81,71,167,245,202,186,251,57,108,245,207,196,211,243,21,65,116,134,121,36,4
"QLD","LEICHHARDT",3998,32,4,,1594,,133,3891,2,67,"LEICHHARDT",,,,,,,,,,,,,,,,,,,,1594,,510,914,82,94,79,72,104,455,702,1289,1109,293,189,42,144,174,124,151,136,41,83,264,120,164,161,172,26,29,114,108,93,84,5
"QLD","LILLEY",8397,169,27,,1801,,8,5008,2,25,"LILLEY",,,,,,,,,,,,,,,,,,,,1801,,444,1870,125,105,204,207,226,753,2864,1155,1017,527,186,76,193,424,215,402,270,106,185,415,295,223,221,296,44,58,143,168,158,40,21
"QLD","LONGMAN",5927,109,8,,1437,,62,5165,3,13,"LONGMAN",,,,,,,,,,,,,,,,,,,,1437,,499,1240,130,111,149,156,144,541,1040,1331,1122,846,349,71,382,338,244,227,234,78,115,358,288,238,219,279,37,67,135,125,94,92,8
"QLD","MARANOA",5137,240,12,,6173,,80,5940,2,46,"MARANOA",,,,,,,,,,,,,,,,,,,,6173,,202,1171,148,90,175,137,154,736,683,1164,1823,854,147,72,429,486,222,190,222,51,139,557,168,174,117,418,43,42,115,149,238,138,3
"QLD","MCPHERSON",4485,63,6,1,1235,,13,5680,5,183,"MCPHERSON",,,,,,,,,,,,,,,,,,,,1235,,509,1069,179,51,104,129,98,1907,1796,985,550,248,196,49,123,324,138,145,148,65,84,497,154,100,130,125,24,42,260,123,68,13,3
"QLD","MONCRIEFF",5570,94,8,,1230,,15,3818,7,153,"MONCRIEFF",,,,,,,,,,,,,,,,,,,,1230,,208,1266,211,425,939,1068,271,207,259,379,388,723,66,57,123,438,196,173,327,68,119,268,249,224,253,291,37,61,88,169,97,12,5
"QLD","MORETON",7779,104,822,,1370,1,410,3852,,10,"MORETON",,,,,,,,,,,,,,,,,,,,1370,,679,1606,185,81,467,1039,176,490,1364,686,759,693,272,78,326,603,265,188,253,95,138,437,280,217,218,534,85,68,132,317,145,99,3
"QLD","OXLEY",7609,135,797,,1233,,9,115,1,28,"OXLEY",,,,,,,,,,,,,,,,,,,,1233,,227,1143,176,158,427,103,183,192,190,140,346,755,199,85,217,535,258,271,409,113,184,329,297,275,299,329,73,91,209,258,190,13,20
"QLD","PETRIE",5606,123,368,,1619,,50,6909,,14,"PETRIE",,,,,,,,,,,,,,,,,,,,1619,,671,1406,166,87,329,339,266,1284,2077,645,1128,983,456,61,290,391,160,192,203,53,91,330,226,177,164,197,30,40,118,253,211,37,9
"QLD","RANKIN",7987,176,1447,,1424,1,12,188,5,9,"RANKIN",,,,,,,,,,,,,,,,,,,,1424,,442,1400,106,108,234,185,178,249,259,151,154,248,80,100,169,320,312,281,1029,152,252,1253,358,401,319,317,63,109,207,255,127,5,2
"QLD","RYAN",7701,132,9,,1780,1,26,5199,1,77,"RYAN",,,,,,,,,,,,,,,,,,,,1780,,586,1820,96,102,177,142,151,210,302,3578,1015,376,75,96,206,366,322,265,308,121,210,308,245,242,866,248,53,93,167,142,166,34,58
"QLD","WIDE BAY",4363,102,19,1,2135,,96,3911,2,11,"WIDE BAY",,,,,,,,,,,,,,,,,,,,2135,,307,916,142,61,113,138,154,559,390,1094,1294,469,188,36,105,313,167,116,209,56,80,388,237,140,135,163,34,28,105,150,81,133,4
"QLD","WRIGHT",8087,87,37,1,1356,1,17,4210,9,22,"WRIGHT",,,,,,,,,,,,,,,,,,,,1356,,401,1706,482,245,1503,585,311,274,391,352,655,618,68,113,217,520,319,321,439,106,184,460,340,265,375,350,53,83,237,265,216,8,9
"SA","ADELAIDE",4204,117,931,,2156,2,1963,1,2,1376,"ADELAIDE",,,,,,,,,,,,,,,,,,,,2156,,506,1109,700,499,484,75,206,154,142,175,390,154,72,28,66,286,304,491,399,193,304,326,192,154,337,230,57,98,144,111,151,45,14
"SA","BARKER",2442,112,771,,1584,,2121,1,3,1165,"BARKER",,,,,,,,,,,,,,,,,,,,1584,,316,650,445,391,469,81,60,111,266,80,484,149,105,23,22,327,246,148,131,449,227,364,154,100,283,169,26,81,65,68,80,41,4
"SA","BOOTHBY",3834,188,166,,1866,1,2021,1,2,1531,"BOOTHBY",,,,,,,,,,,,,,,,,,,,1866,,458,1033,481,512,324,57,47,134,181,207,305,104,203,34,46,359,290,543,390,136,152,341,202,150,330,194,48,103,97,93,131,54,5
"SA","GREY",2573,187,155,,1578,,1968,5,5,1398,"GREY",,,,,,,,,,,,,,,,,,,,1578,,208,549,268,440,484,48,26,105,116,131,509,231,119,20,40,365,232,265,161,179,122,304,188,131,337,252,36,74,87,69,133,62,
"SA","HINDMARSH",3272,146,1230,,1936,1,3433,,,1514,"HINDMARSH",,,,,,,,,,,,,,,,,,,,1936,,555,809,1172,727,384,63,79,107,556,142,553,173,163,33,28,348,226,617,687,251,192,358,184,112,289,267,52,90,122,87,138,25,7
"SA","KINGSTON",2627,109,2858,,1604,,277,3,,1163,"KINGSTON",,,,,,,,,,,,,,,,,,,,1604,,281,687,1424,406,375,48,114,228,141,122,190,111,51,17,24,196,160,265,158,186,469,273,153,94,286,186,45,53,71,55,108,55,5
"SA","MAKIN",2744,107,1373,,1800,,120,3,1,1496,"MAKIN",,,,,,,,,,,,,,,,,,,,1800,,215,586,162,271,320,157,55,215,147,80,277,61,35,23,37,167,163,570,240,77,159,338,194,168,351,279,77,87,87,55,118,52,21
"SA","MAYO",3069,138,890,2,1469,,2993,2,1,1274,"MAYO",,,,,,,,,,,,,,,,,,,,1469,,534,821,1026,466,399,64,50,103,449,181,488,174,200,29,29,450,194,417,420,196,208,335,149,92,224,197,80,68,84,47,144,44,7
"SA","PORT ADELAIDE",2528,117,3326,1,1792,1,82,1,,1274,"PORT ADELAIDE",,,,,,,,,,,,,,,,,,,,1792,,185,522,86,115,97,39,39,126,545,216,930,43,17,24,38,210,509,242,307,369,504,386,139,138,320,287,59,150,117,146,379,38,8
"SA","STURT",3096,136,1215,,1793,,3810,3,,1293,"STURT",,,,,,,,,,,,,,,,,,,,1793,,463,907,805,405,348,71,286,212,424,128,433,123,235,22,28,407,270,1014,610,196,157,501,234,136,447,224,37,108,96,58,127,35,6
"SA","WAKEFIELD",2617,77,1588,1,1637,,1615,1,1,1208,"WAKEFIELD",,,,,,,,,,,,,,,,,,,,1637,,330,643,849,505,462,58,35,99,126,264,226,101,108,25,27,295,160,302,576,183,205,311,169,115,251,172,71,80,89,66,92,46,67
"Tas","BASS",3227,138,11,,1215,1,1566,8,3,65,"BASS",,,,,,,,,,,,,,,,,,,,1215,,242,397,875,312,141,96,124,236,218,169,148,97,24,13,35,124,205,109,64,28,41,210,107,74,180,345,7,22,125,102,118,24,7
"Tas","BRADDON",3136,77,84,,619,1,1313,5,2,31,"BRADDON",,,,,,,,,,,,,,,,,,,,619,,205,459,803,233,90,95,206,262,266,123,135,103,30,15,18,117,237,102,72,15,31,169,120,48,196,225,36,13,88,48,84,4,1
"Tas","DENISON",3429,77,67,,1015,1,991,4,1,1462,"DENISON",,,,,,,,,,,,,,,,,,,,1015,,321,576,1234,372,360,135,187,203,236,199,193,108,33,27,49,184,218,113,85,24,47,214,123,53,215,218,15,11,68,75,110,22,4
"Tas","FRANKLIN",3819,112,97,,915,1,1453,5,2,81,"FRANKLIN",,,,,,,,,,,,,,,,,,,,915,,280,579,795,285,189,99,220,233,258,109,168,110,45,19,58,112,250,155,74,35,44,258,178,65,256,308,21,13,120,128,90,15,1
"Tas","LYONS",4185,178,523,,1022,,1296,4,1,86,"LYONS",,,,,,,,,,,,,,,,,,,,1022,,162,665,711,152,297,162,379,341,318,178,166,168,57,30,68,155,270,154,60,28,45,285,193,87,227,395,19,11,181,118,172,18,1
"VIC","ASTON",4374,61,469,,1329,8,5600,1,,4,"ASTON",,,,,,,,,,,,,,,,,,,,1329,,593,779,1318,541,665,634,349,589,418,613,545,463,77,220,90,390,220,296,124,84,79,194,161,148,165,223,34,58,187,102,113,45,
