2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:54 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,111,Chifley,32620,GRN,The Greens,ROBERTSON,Brent John,4,32680,ALP,Labor,HUSIC,Ed,6,3268,70.98
NSW,111,Chifley,32620,GRN,The Greens,ROBERTSON,Brent John,4,33181,LP,Liberal,CHETTIPALLY,Livingston,5,1336,29.02
NSW,112,Cook,0,,,First Preferences,,0,32745,ALP,Labor,O'BRIEN,Simon,3,21718,26.61
NSW,112,Cook,0,,,First Preferences,,0,33135,LP,Liberal,MORRISON,Scott,1,59895,73.39
NSW,112,Cook,33540,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,KELLY,Peter,2,32745,ALP,Labor,O'BRIEN,Simon,3,173,31.4
NSW,112,Cook,33540,FACN,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,KELLY,Peter,2,33135,LP,Liberal,MORRISON,Scott,1,378,68.6
NSW,112,Cook,32401,ON,Pauline Hanson's One Nation,CAMERON,Gaye,4,32745,ALP,Labor,O'BRIEN,Simon,3,1326,40.46
NSW,112,Cook,32401,ON,Pauline Hanson's One Nation,CAMERON,Gaye,4,33135,LP,Liberal,MORRISON,Scott,1,1951,59.54
NSW,112,Cook,32621,GRN,The Greens,DOIG,Jon,5,32745,ALP,Labor,O'BRIEN,Simon,3,5219,81.47
NSW,112,Cook,32621,GRN,The Greens,DOIG,Jon,5,33135,LP,Liberal,MORRISON,Scott,1,1187,18.53
NSW,112,Cook,33523,CDP,Christian Democratic Party (Fred Nile Group),BOLLING,Roger,6,32745,ALP,Labor,O'BRIEN,Simon,3,240,23.05
NSW,112,Cook,33523,CDP,Christian Democratic Party (Fred Nile Group),BOLLING,Roger,6,33135,LP,Liberal,MORRISON,Scott,1,801,76.95
NSW,112,Cook,32872,UAPP,United Australia Party,McSWEYN,John Neil,7,32745,ALP,Labor,O'BRIEN,Simon,3,453,39.91
NSW,112,Cook,32872,UAPP,United Australia Party,McSWEYN,John Neil,7,33135,LP,Liberal,MORRISON,Scott,1,682,60.09
NSW,113,Cowper,0,,,First Preferences,,0,29558,IND,Independent,OAKESHOTT,Robert,5,25847,34.23
