2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,11878,Theodore,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,615,-4.71
ACT,101,Canberra,32704,Tuggeranong CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,7642,1.4
ACT,101,Canberra,32704,Tuggeranong CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,6074,-1.4
ACT,101,Canberra,66118,Turner (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,456,-3.97
ACT,101,Canberra,66118,Turner (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,170,3.97
ACT,101,Canberra,8790,Wanniassa,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1281,-1.03
ACT,101,Canberra,8790,Wanniassa,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,807,1.03
ACT,101,Canberra,8791,Wanniassa Hills,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1177,1.24
ACT,101,Canberra,8791,Wanniassa Hills,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,730,-1.24
ACT,101,Canberra,8792,Waramanga,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1524,0.82
ACT,101,Canberra,8792,Waramanga,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,942,-0.82
ACT,101,Canberra,8793,Weston,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,899,0.64
ACT,101,Canberra,8793,Weston,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,521,-0.64
ACT,101,Canberra,32705,Woden CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,5825,0.41
ACT,101,Canberra,32705,Woden CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,4791,-0.41
ACT,101,Canberra,8840,Yarralumla,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,823,-4.36
ACT,101,Canberra,8840,Yarralumla,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,802,4.36
ACT,102,Fenner,8801,Ainslie North,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1734,0.1
ACT,102,Fenner,8801,Ainslie North,28983,GUNNING,Robert,3,N,N,LP,Liberal,523,-0.1
ACT,102,Fenner,38197,Amaroo,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1580,3.25
ACT,102,Fenner,38197,Amaroo,28983,GUNNING,Robert,3,N,N,LP,Liberal,1144,-3.25
ACT,102,Fenner,8803,Aranda,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,1757,-0.7
